iter	Logloss
0	0.6251019655
1	0.5676303976
2	0.5198397396
3	0.4786185511
4	0.4440168592
5	0.4149512449
6	0.3899099751
7	0.3684518842
8	0.3493795522
9	0.3313730078
10	0.3157564393
11	0.3028890741
12	0.2923543065
13	0.2834242492
14	0.2764046827
15	0.2692062094
16	0.2625963565
17	0.2561153799
18	0.2500924305
19	0.245297667
20	0.2397212896
21	0.2357820351
22	0.2322743235
23	0.2279936428
24	0.2248914935
25	0.2221760632
26	0.219415446
27	0.2169700451
28	0.2140291695
29	0.211844206
30	0.2099771282
31	0.2076573227
32	0.205351212
33	0.2036252758
34	0.2019528542
35	0.20031211
36	0.1987265564
37	0.1969029184
38	0.1953908883
39	0.1944924348
40	0.1931354626
41	0.1919071222
42	0.1910618318
43	0.1898473541
44	0.1883549071
45	0.1872935579
46	0.1861641319
47	0.1849436563
48	0.1842881459
49	0.1832614151
50	0.1825318388
51	0.181719064
52	0.1807546839
53	0.1797998129
54	0.1791471367
55	0.1782636383
56	0.1777090974
57	0.1769970696
58	0.1761080754
59	0.1756669883
60	0.1749950568
61	0.1746333371
62	0.1740998408
63	0.1735723578
64	0.173027883
65	0.1720461667
66	0.1713722957
67	0.1709158572
68	0.1702196684
69	0.1697661989
70	0.1694045033
71	0.1685555345
72	0.1679693183
73	0.167542399
74	0.1669824069
75	0.1661845033
76	0.165773804
77	0.1651366483
78	0.164878632
79	0.164233903
80	0.1638453816
81	0.1629492106
82	0.1626515587
83	0.1620145921
84	0.1616969112
85	0.1611988674
86	0.1608068821
87	0.1605758094
88	0.1602097907
89	0.1598155495
90	0.1593160574
91	0.1589433428
92	0.1587046121
93	0.1584271644
94	0.1580518674
95	0.157882206
96	0.1573495463
97	0.157057568
98	0.1565726665
99	0.1562899351
100	0.1559607467
101	0.1556319109
102	0.1552260091
103	0.1547565202
104	0.1544545913
105	0.1542628779
106	0.1539919867
107	0.1535974317
108	0.1532361452
109	0.1528176827
110	0.1523325712
111	0.1520459941
112	0.1516858847
113	0.1512635456
114	0.1508319788
115	0.1505914966
116	0.1502567328
117	0.1498374858
118	0.1493830577
119	0.1491820621
120	0.1490177976
121	0.1486809642
122	0.1484278492
123	0.1480836517
124	0.1478743265
125	0.1476672819
126	0.1474196486
127	0.1469834586
128	0.1465667732
129	0.1463016409
130	0.1461369753
131	0.1458151273
132	0.1454362705
133	0.1452595508
134	0.1450344459
135	0.1447123715
136	0.1445940706
137	0.1443129056
138	0.1439263517
139	0.1435787213
140	0.1434862329
141	0.1432244774
142	0.1430583845
143	0.142916258
144	0.1428080379
145	0.1425432965
146	0.1422676727
147	0.1419708508
148	0.1417578403
149	0.1414810086
150	0.1413107284
151	0.1411195694
152	0.1408276836
153	0.14054653
154	0.1402821144
155	0.1400047692
156	0.1398410897
157	0.1395001372
158	0.1393522505
159	0.1391800963
160	0.1389361877
161	0.138528592
162	0.1383938515
163	0.1382569707
164	0.137990816
165	0.1377168502
166	0.1373852968
167	0.1371770015
168	0.1368883178
169	0.1366206594
170	0.1364525697
171	0.1361458312
